Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
R1A	0	0.000444429891025475	0.000409404009113541	0	0	0.296012470589408	0	0.0132290173886017	0	0	0	0.114372986863348	0.0429899395669975	0	0	0.245755511737668	0	0	0	0.248882513436458	0.0237531604387348	0.0141505660786448	9999	0.136225828033249	1.05856192450235
R1B	0	0	0.0181725802811866	0	0	0.0571247413028144	0	0.082796868113946	0	0	0	0.0279776794108113	0.10375037684718	0	0.00654607163715354	0.349813890275141	0	0.0487502414312653	0	0.305067550700502	0	0	9999	-0.00624115693224586	1.1292636116958
R2A	0.00130750438082085	0	0	0	0	0.243372650150981	0	0.0635077224407082	0.00639027753510122	0	0	0.0557712504865072	0.0319276316821117	0.377948242558116	0	0.19996531215196	0	0.018048143450375	0	0.00176126516331829	0	0	9999	0.166303802041218	1.04806905921543
R2B	0.0416533542547085	0	0.00706536455206444	0	0	0.105928375806133	0	0.0573362627868461	0	0	0	0.0301946977439112	0.185240144666013	0	0.00670457487691658	0.431044823628924	0	0.0334866525687267	0	0.0601484086794883	0	0.0411973404362686	9999	0.028933004708284	1.08527301835264
R2C	0.00521477128639648	0	0.006888665429982	0.015752536752151	0	0.183767522047362	0	0.0100038893729521	0	0	0.0065324732349301	0.0621021582506104	0.0328868478131235	0.28993703455923	0.0103674217230531	0.274115905359568	0	0	0	0.102430774170642	0	0	9999	0.148831520142087	1.05036856507102
R1C	0.03676164756997	0	0.0123265682299022	0	0	0.195673080293979	0	0.013009383974419	0	0	0.0770795069102964	0	0.0401559275004432	0	0	0.428572592103595	0	0.0239940590943531	0	0.160860920248676	0	0.0115663140743657	9999	0.0137449411025828	1.08917600981369
PA	0	0.00617648563861792	0.00166056529778212	0.020628299561609	0	0.154482453439342	0	0.020584502053128	0	0	0.0435207136870052	0.0379206737876235	0.0315067456623744	0	0.000278427116911256	0.478876384501708	0	0.00123556717271554	0	0.169134378189478	0.0020799043604035	0.031914899531302	9999	0.0649026989874355	1.08108896137733
PB	0.0545272243506714	0	0	0	0.0215128863520368	0.068822517024296	0	0.0352326912591671	0	0	0	0.0348323157771592	0.115692725803871	0	0	0.405578431319536	0	0	0	0.0694819299322202	0	0.194319278181042	9999	0.0261561768189839	1.1059969182453
PC	0	0.0108336006173952	0	0.0462360342546318	0	0.189146037350772	0	0.0237595300196527	0.00367361233711897	0	0.0103358767386178	0.110238657503716	0.0812640694711965	0	0.000408995889818305	0.385043502783429	0	0	0	0.0971376356734659	0.000398427626958409	0.0415240197332265	9999	0.05078012304061	1.07958195270054
X1	0.00486465641673965	0	0.00296640161306324	0	0	0.367246299844262	0	0.0256705116580034	0.00681896680730398	0	0.0299183675379747	0.093467168989192	0.0722257785042644	0.0397464897598762	0.0297919099468075	0.174993984845599	0	0.00535074225083897	0.119549991636733	0	0.00152352800595773	0.0258652021833845	9999	0.0218776904045112	1.0805822996245
